feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
666,53.0,0.016152233,False,62106.28,-0.028981395,0.022788923,0.02993185,-0.032704562,0.022795776,-0.03317373,-0.03288451,0.012448439,0.10176794
667,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
668,5.0,0.0015237957,False,6573.4014,-0.032741196,0.03239961,0.035468478,-0.04058579,0.03271052,-0.03569318,-0.03577051,0.020169294,0.10805734
669,326817.0,99.60046,False,1.799848,-0.02426144,0.094242886,0.023706257,-0.07995167,0.07098902,-0.063612916,-0.05352047,0.07640465,0.04763623
670,4.0,0.0012190365,False,2120.1921,-0.03295662,0.03229959,0.03557932,-0.041499715,0.034228005,-0.036089826,-0.035661113,0.018032696,0.10769278
671,116.0,0.03535206,False,32.075035,-0.025011105,0.015054861,0.021126796,-0.042989254,0.011909045,-0.03680735,-0.030532135,0.025229115,0.10214884
672,2.0,0.00060951826,False,1235.975,-0.03354609,0.032269407,0.035751924,-0.041933313,0.032722324,-0.035363033,-0.036769528,0.020549381,0.10776558
673,2956.0,0.90086794,False,4.6782995e+06,0.05392976,-0.017059768,-0.015379966,0.08520817,0.0073925387,0.1222812,0.07122607,0.04729643,0.03524817
674,2.0,0.00060951826,False,0.0,-0.034279402,0.03144675,0.035953384,-0.04246274,0.032206826,-0.036702864,-0.036027405,0.018146245,0.1076146
675,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
676,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
677,9.0,0.002742832,False,6922.59,-0.033738222,0.032042414,0.035626207,-0.039233066,0.032202885,-0.0355711,-0.037320103,0.019183874,0.10973103
678,5.0,0.0015237957,False,5.600511,-0.034364708,0.032294456,0.03661609,-0.04221407,0.033952132,-0.036352597,-0.037297703,0.017334929,0.10810862
679,2.0,0.00060951826,False,427.5534,-0.032557193,0.03287226,0.03576507,-0.041566297,0.033164788,-0.034545,-0.03571475,0.01960358,0.10806987
680,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
681,2.0,0.00060951826,False,4.6706033,-0.032672852,0.031531435,0.035132118,-0.040800758,0.03119098,-0.035836525,-0.035886653,0.019124858,0.10768835
682,5.0,0.0015237957,False,0.0,-0.03476835,0.03347668,0.0375257,-0.042326935,0.033300426,-0.037558757,-0.03810986,0.019589193,0.10838645
683,14.0,0.0042666276,False,11244.468,-0.03240371,0.030124156,0.03353583,-0.03696958,0.029734043,-0.034083396,-0.035931766,0.017806584,0.107078105
684,314619.0,95.88301,False,0.49778625,0.049195424,-0.15443638,-0.078253776,0.098361194,-0.13946421,0.03272718,0.06537229,-0.17944479,-0.07357047
685,12.0,0.0036571096,False,14.032563,-0.033341564,0.031805582,0.03492685,-0.039834227,0.030457892,-0.03495381,-0.03776931,0.016802467,0.106851466
686,2.0,0.00060951826,False,864.01025,-0.034167893,0.03205901,0.035222173,-0.04174855,0.03162991,-0.03677927,-0.03730072,0.01938073,0.10742847
687,1064.0,0.3242637,False,8935.509,-0.05857321,0.04610819,0.066298164,-0.10033612,0.055518124,-0.059233207,-0.06440121,0.039690983,0.062865175
688,3.0,0.0009142774,False,25.77686,-0.033821166,0.031982016,0.03545188,-0.042515624,0.031290602,-0.036710475,-0.03726714,0.018985618,0.10811292
689,9.0,0.002742832,False,604.60114,-0.03429764,0.03177045,0.034790028,-0.040591393,0.030764094,-0.038192492,-0.037368193,0.019858658,0.10831095
690,5.0,0.0015237957,False,2.7897687,-0.033397987,0.03356558,0.03619252,-0.041818723,0.033486277,-0.03556618,-0.037236106,0.01970389,0.10804686
691,2.0,0.00060951826,False,9.651419,-0.034850776,0.03169315,0.036256954,-0.04164414,0.03108443,-0.036927395,-0.03890332,0.018884657,0.1075574
692,1.0,0.00030475913,False,0.0,-0.034096103,0.032306343,0.03647535,-0.04117593,0.031460688,-0.036617856,-0.0376863,0.019467795,0.107434556
693,7.0,0.0021333138,False,6553.4937,-0.036916383,0.033027723,0.03866295,-0.042656884,0.03267091,-0.038660098,-0.041171078,0.01858085,0.10723556
694,254184.0,77.46489,False,0.36206183,-0.040040758,-0.013288168,0.048583183,-0.05713489,0.026918933,-0.021017903,-0.010439493,0.022649903,-0.04533887
695,0.0,0.0,True,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
